file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,162,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,12
style.css,163,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,18
style.css,164,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,9
style.css,165,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,166,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,167,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,7
style.css,168,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,20
style.css,169,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,9
style.css,170,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,18
style.css,171,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,29
style.css,172,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,17
style.css,173,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,174,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,175,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,10
style.css,176,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,12
style.css,177,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,18
style.css,178,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,7
style.css,179,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,16
style.css,180,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,181,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,182,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,18
style.css,183,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,6
style.css,184,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,8
style.css,185,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,0
style.css,186,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,0,10
style.css,187,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,10
style.css,188,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,13
style.css,189,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,17
style.css,190,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,13
style.css,191,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,21
style.css,192,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,17
style.css,193,css,52996580,gabrielborjas,2026-05-02,22:28:04,-07:00,2026-05-02T22:28:04-07:00,1,21
style.css,194,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,0
style.css,195,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,0
style.css,196,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,18
style.css,197,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,1,14
style.css,198,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,1,16
style.css,199,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,1,16
style.css,200,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,0
style.css,201,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,0
style.css,202,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,51
style.css,203,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,1,11
style.css,204,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,0
style.css,205,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,0
style.css,206,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,23
style.css,207,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,1,16
style.css,208,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,1,14
style.css,209,css,52e66084,gabrielborjas,2026-05-02,22:37:10,-07:00,2026-05-02T22:37:10-07:00,0,0
